Cell_ID,Year,Baseline_Forest_ha
G25_000256,2000,0.0
G25_000257,2000,0.0
G25_000258,2000,0.5801885498046876
G25_000259,2000,6.758712480133653
G25_000260,2000,0.0
G25_000261,2000,0.0
G25_000262,2000,0.0
G25_000263,2000,0.0
G25_000264,2000,0.0
G25_000265,2000,0.0
G25_000266,2000,0.0
G25_000267,2000,0.0
G25_000268,2000,0.1446771728515625
G25_000269,2000,0.5095515930175781
G25_000270,2000,0.0
G25_000271,2000,0.0
G25_000272,2000,0.0
G25_000273,2000,0.0
G25_000274,2000,0.4361069946289063
G25_000275,2000,0.0
G25_000276,2000,0.0
G25_000277,2000,0.0
G25_000278,2000,0.0
G25_000279,2000,0.0
G25_000280,2000,0.0
G25_000281,2000,0.0725469116210937
G25_000282,2000,1.5229990722656246
G25_000283,2000,18.766894677614665
G25_000284,2000,0.0
G25_000285,2000,0.0
G25_000286,2000,0.0
G25_000287,2000,0.1448548706054687
G25_000288,2000,0.0
G25_000289,2000,0.2804871057607613
G25_000290,2000,0.5062644476438035
G25_000291,2000,0.0
G25_000292,2000,0.0723336669921875
G25_000293,2000,0.0
G25_000294,2000,0.0
G25_000295,2000,0.5095000549316406
G25_000296,2000,0.2097659714642692
G25_000297,2000,0.0082748780972349
G25_000298,2000,0.0
G25_000299,2000,0.0
G25_000300,2000,0.0
G25_000301,2000,1.7439478393554686
G25_000302,2000,1.3078044433593754
G25_000303,2000,0.0
G25_000304,2000,0.0
G25_000305,2000,0.0
G25_000306,2000,0.0
G25_000307,2000,0.0
G25_000308,2000,0.0
G25_000309,2000,8.556226934814449
G25_000310,2000,0.0
G25_000311,2000,0.14494931640625
G25_000312,2000,3.8255500257065713
G25_000313,2000,2.9930960032264866
G25_000314,2000,1.3032675170898438
G25_000315,2000,0.6606462621591606
G25_000316,2000,0.5791457208132276
G25_000317,2000,8.609836126708991
G25_000318,2000,0.0
G25_000319,2000,0.0
G25_000320,2000,0.0
G25_000321,2000,0.0
G25_000322,2000,0.0
G25_000323,2000,0.0
G25_000324,2000,0.0
G25_000325,2000,0.2909077270507813
G25_000326,2000,0.1454039306640625
G25_000327,2000,0.6542733337402344
G25_000328,2000,1.8167700622558596
G25_000329,2000,1.9616513122558596
G25_000330,2000,0.0
G25_000331,2000,0.0
G25_000332,2000,0.0
G25_000333,2000,0.0
G25_000334,2000,0.2176365783691406
G25_000335,2000,0.0
G25_000336,2000,6.670541400146485
G25_000337,2000,0.2174754516601562
G25_000338,2000,1.3016889043830424
G25_000339,2000,12.891516246457568
G25_000340,2000,1.0816666996017157
G25_000341,2000,0.0
G25_000342,2000,0.0
G25_000343,2000,0.0
G25_000344,2000,1.109437732675589
G25_000345,2000,2.072674993992226
G25_000346,2000,0.0
G25_000347,2000,0.2168172546386718
G25_000348,2000,1.084053753662109
G25_000349,2000,0.0
G25_000350,2000,0.0
G25_000351,2000,0.0
G25_000352,2000,0.0
G25_000353,2000,0.0
G25_000354,2000,0.0
G25_000355,2000,0.0
G25_000356,2000,0.0
G25_000357,2000,0.0726536865234375
G25_000358,2000,1.3072734008789064
G25_000359,2000,0.3629891174316406
G25_000360,2000,0.0
G25_000361,2000,2.1951438882506125
G25_000362,2000,3.826663124688841
G25_000363,2000,0.0
G25_000364,2000,6.226478406479781
G25_000365,2000,5.662750016706876
G25_000366,2000,0.4612544611672794
G25_000367,2000,0.0
G25_000368,2000,0.1448462768554687
G25_000369,2000,0.0
G25_000370,2000,0.0
G25_000371,2000,0.0
G25_000372,2000,2.4443312539972037
G25_000373,2000,5.36580519789752
G25_000374,2000,4.265959667968753
G25_000375,2000,3.9159822722790314
G25_000376,2000,3.654782514552694
G25_000377,2000,0.0
G25_000378,2000,0.0
G25_000379,2000,0.0
G25_000380,2000,0.0
G25_000381,2000,0.0
G25_000382,2000,0.0
G25_000383,2000,0.0
G25_000384,2000,0.0
G25_000385,2000,0.0
G25_000386,2000,0.0
